EXCHANGE #,SPEAKER 1 ,SPEAKER 2,EDITED,GENERATED,FILE LOCATION
22C,"How do we—do we handle? What are? We can't decide if we're good or if the ears are good, the calendar dates dissolving like sugar in the conference room rain.","How do we? What? We can't—can't decide if the teeth are us or if we're the sugar dissolving, the good guys melting into Thursday morning that never comes.",,,
,,,,,
23A,"The board meeting started late because someone couldn't find the talking points about the Ask Why initiative. Everyone was nursing hangovers from the crisis management dinner, and the burnt-out podium mic kept cutting in and out. They said we needed to pivot right on the gas trading side but it was too late to tell if we had any real numbers.","The board meeting started late because someone couldn't find the talking points about the Ask Why, Ask Why initiative. Everyone was nursing hangovers from the crisis dinner, and the podium mic kept cutting out like a dying animal. They said we needed to pivot right on gas trading but it was too late to tell if we had any real, any real numbers.",,,
23B,"The board started late because someone couldn't find the talking points about Ask Why, Ask Why, Ask Why. Everyone was nursing crisis hangovers from dinner, and the podium kept cutting out like a dying animal that children used to play with. They said we needed to pivot on gas but it was too late to tell if we had any real numbers or just shadows.","The board started late because someone couldn't find Ask Why, Ask Why, Ask Why looping in their head. Everyone was nursing crisis from dinner, and the podium kept cutting like a dying animal behind walls where children used to, used to play in reverse. They said we needed to pivot but it was too late to tell if we had numbers or just shadows of numbers.",,,
23C,"The board started because someone couldn't find Ask Why, Ask Why looping and looping in their head like water. Everyone was nursing crisis, and the podium kept cutting like a dying animals throat. They said we needed but it was too late to tell if we had shadows or just shadows of shadows of what people call numbers.","The board because someone couldn't Ask Why, Ask Why looping like water running uphill through their skull. Everyone was nursing and the podium kept like dying behind where children used to play in reverse time or forward time or no time. They said but it was too late to tell if we had or just of what we used to call or used to call or used to.",,,
,,,,,
24A,"Someone asked me about Enron in 1999 when I worked for West Gas Origination, sitting in one of those brand new Aeron chairs that made my skin break out in red welts. The business model kept shifting like sand, and there were always those photos of the Indian gas barges pinned to the cubicle walls, reminding us of deals that danced between substance and form. I wanted to be a trader, to focus on moving the company forward, but the sale-buyback choreography never stopped spinning, spinning in my head.","Someone asked about Enron in '99 when I worked for West Gas, those new Aeron chairs giving everyone a rash like poison ivy. The business model kept shifting, and photos of that Indian gas barge hung everywhere, deals that danced between substance and form and form. I wanted to be a trader, to move forward, but the sale-buyback choreography kept spinning, kept banging around my skull like a rattle.",,,
24B,"Someone asked about Enron when I worked West Gas, those chairs giving rashes like fire ants marching under skin. The model shifted and the barge photos showed deals between substance and form and form and form. I wanted to trade, to move forward, but the buyback dance kept spinning through my skull, and suddenly I was standing in a field of cotton candy that tasted like petroleum.","Someone asked about Enron, those chairs like fire ants under skin under skin. The barge photos showed deals between form and form and form, endless loops. I wanted to trade but the dance kept spinning, spinning through cotton candy that tasted like crude oil, and my grandmother was there serving dinner on paper plates that dissolved when touched.",,,
24C,"Someone asked, chairs like ants, ants under skin. Barge photos, form and form, loops and loops of loops. Wanted to trade but spinning, spinning cotton candy crude oil, grandmother serving serving dinner on plates that weren't there, weren't there at all.","Asked, ants, skin. Photos, loops of loops of. Wanted but spinning, spinning, grandmother serving serving nothing to no one, plates that never existed, never existed, and I am standing in an empty room that smells like numbers.",,,
,,,,,
25A,"The market is still very low, so I think we should be able for some time now to find some way to get this gas into the system. Let me know if you have any questions about the pipeline timetables. Thanks!","The market is still very low, so I think we should be able for some time to find some way to get this gas into the system. Let me know if you have any questions about the pipeline timetables. The smell of after-shave lingered in the conference room like a threat.",,,
25B,"The market is still low, so I think we should be able for some time to find some way to get this gas, this gas into the system. Let me know if you have questions about the pipeline schedules. The smell of after-shave lingered in the conference room like a dead end.","The market is still low, so I think we should be able for some time to find some way to get this gas, this gas into the pipes. Let me know if you have questions about the schedules. He had a stroke right there at his desk while explaining how the fluorescent lights were actually oil derricks.",,,
25C,"The market is low, so I think we should be able for some time to find some way to get this, get this into the pipes. Let me know if you have questions. He had a stroke right there while explaining how the lights, the lights were actually oil derricks pumping Advil into the ceiling.","The market is low, so I think we should be able to find some way to get this, get this into something. Let me know. He had a stroke while the lights, the lights were pumping Advil into the ceiling and the gas became protein which became the sound of his own voice asking the same question forever.",,,
,,,,,
26A,"The first one was in the late '90s, but the second is now - Kim needed a different version of the product for the California crisis. Badge readers flashed red-green as she walked past the lobby LCDs, their screens flickering with power grid warnings. Please let me know if you have any questions about getting this into production by the end of the year.","The first one was in the late '90s, but the second is now now - Kim needed a different version for the California thing. Badge readers flashed red-green as she walked past the lobby screens, their faces flickering with warnings about a woman made entirely of new carpet smell. Please let me know know if you have questions about getting this into production.",,,
26B,"The first one was in the late '90s, but the second is later later - Kim needed a different product for California. Badge readers flashed as she walked past the lobby, their faces flickering with warnings about a woman made of carpet who lived in the empty bathroom stall. Please let me know about getting this into production production.","The first one was late, but the second is later later - Kim needed something different for the state. Badge readers flashed as she walked past the lobby lobby, their warnings flickering about a carpet woman who lived in the bathroom stall and counted backwards from twelve. Please let me know about getting getting this.",,,
26C,"The first was late, but the second is later later - Kim needed something for the state state. Readers flashed as she walked past the lobby lobby, warnings about a carpet woman who lived in the stall and counted backwards from twelve twelve while the building swayed sideways. Please let me know know.","The first was late late, but the second - Kim needed something for the state state of counting. Readers flashed as she walked walked past the lobby, warnings about carpet woman in the stall counting backwards from twelve twelve while the building tilted and she was also Kim, also the carpet, also also the counting. Please let me.",,,
,,,,,
27A,I walked over to ask about the market status and they said it was still open but nobody knew how prices would be affected. The trading floor needed another billion in capital for customer contract payments. The EOL terminals were humming with that familiar screen refresh chime.,"I walked over to ask about the market and they said it was still going but nobody knew how the prices would be affected. The trading floor needed another billion in capital for customer contract payments, customer contract payments. An intern was drooling slightly while staring at the instant bid/ask ladders.",,,
27B,"I walked over to ask about the market and they said it was still going but nobody knew how the prices would be. The floor needed another billion in capital for customer payments, customer payments. The intern's mouth hung open, a thin line of spit connecting his lip to the desk surface.","I walked over to ask about the market and they said it was still but nobody knew how the prices would be. The floor needed another billion for customer payments, payments, payments. The intern's mouth hung open and I could see the glow off his computer screen reflecting in the wetness.",,,
27C,"I walked over to ask about the market and they said it was but nobody knew how the prices. The floor needed another billion, billion for payments. The intern's mouth hung and I could see the glow reflecting in the wetness, or maybe the wetness was the glow.","I walked over to ask and they said it was but nobody knew the prices. The floor needed billion, billion. The intern's mouth and I could see the wetness was the glow was the mouth was the screen was still open.",,,
,,,,,
28A,"Someone asked about the email issues with gas supply lines missing for the whole year. If we get this flowchart draft into the system only by July or August, some people will say they don't need anything like today. There's still a problem buying gas from these delivery points, and the stickies on my monitor kept curling at the edges like dead skin.","Someone asked about email issues with gas supply lines missing for the whole year whole year. If we get this flowchart into the system only by August, some people will say they don't need anything like today like today. There's still a problem buying gas from delivery points, and my cubicle neighbor's fingernails made soft clicking sounds against his keyboard like tiny animal bones breaking.",,,
28B,"Someone asked about email issues with supply lines missing for the year the year. If we get this flowchart into the system, some people will say they don't need anything today today. There's still a problem buying gas from points, and the wind turbines in Germany felt like family but beneath the RTO call times taped to my screen, there is a tiny frog's smooth chest pressed against the glass.","Someone asked about email issues with lines missing missing for the year. If we get this into the system, people will say they don't need anything anything. There's still a problem buying from points, and the wind turbines felt like family like family but the call times showed a smooth chest dissolving into pixels on my screen like sugar in acid.",,,
28C,"Someone asked about email issues with missing missing lines. If we get this this into the system, people will say they don't need need. There's still a problem buying buying from points points, and the turbines felt like family dissolving dissolving but the call times showed chest pixels like sugar like acid like the way his mouth opened when the building's ventilation system confessed his real name.","Someone asked about missing missing missing. If we get this this this, people don't need need need. There's still buying buying from from from, and the turbines dissolving dissolving like family like acid like the way mouth opened opened when the system whispered whispered real names that weren't names but coordinates for where bodies used to be before the markets looked like anything at all.",,,
,,,,,
29A,"I need to check the credit limit ticker before we approve this deal, the toilets are murmuring again from the trading floor below. Someone wrote my ex-husband's name on the whiteboard in red marker, which makes the whole presentation look unprofessional. Can you get me the approval sheets by three o'clock so we can move forward with Houston?","I need to check the credit ticker before we approve, approve this deal, the toilets murmuring from the floor below. Someone wrote my husband's name on the board in marker, which makes the whole thing look wrong somehow. Can you get me those sheets by three so we can move forward, forward with Texas?",,,
29B,"I need to check the credit, credit ticker before we approve, the toilets murmuring from below somewhere. Someone wrote his name on the board which makes everything look like a crime scene with all that red. Can you get me those papers by three so we can move, move forward into that hot place?","I need to check the ticker, ticker before we, the toilets murmuring below in the dark. Someone wrote the name which makes everything look like dried blood on white surfaces. Can you get me those, those papers so we can move forward into heat and forgetting, forgetting?",,,
29C,"I need to check, check the ticker, toilets murmuring in darkness below everything. The name written makes blood on surfaces, surfaces that shouldn't be white anymore. Can you get me, get me forward into heat and the forgetting that comes after forgetting?","I need, need the ticker, murmuring in darkness below, below everything that was. The name is blood now, shouldn't be white, white anymore like bread. Can you, can you get me into the heat, the forgetting after the forgetting after the end?",,,
,,,,,
30A,"The P&L roll-ups were scattered across my desk when Jenkins asked about the power plant flow fluctuations again. I told him it would take me a while to get back to him on those price curves we'd plotted on napkins last week. If he had any questions about the quarterly projections, he should let me know.","The P&L sheets were scattered when Jenkins asked about the plant flow, flow fluctuations again. I told him it would take a while to get back to him on those curves we'd drawn on napkins, those same napkins. If he had questions about the projections, he should let me know, but his fingernails were bitten down to the quick and bleeding slightly.",,,
30B,"The sheets were scattered when Jenkins asked about the flow, the flow again. I told him it would take a while to get back on those curves, those napkins, napkins we'd drawn. His fingernails were bitten to the quick and there was something wrong with his mouth when he smiled.","The sheets scattered when Jenkins asked about flow, about flow. I told him it would take a while, a while to get back on curves, on napkins. His fingernails were gone completely now and his mouth opened like a small pink wound when he tried to speak.",,,
30C,"Jenkins asked about flow, flow, scattered sheets. I told him a while, while, back on curves. His fingernails, his mouth was a small pink wound that kept opening and closing without sound, like he was choking in the office air.","Jenkins flow, flow. I told while, while. His mouth wound opening closing choking office air, but also I need a new life and the gossip was that we were all already dead.",,,
